# kf.cleanliness - committed floors for the source cleanliness ratchet.
# RATCHET: down-only. Bless a lower number with `kf verify board --update`;
# a higher one is a regression and fails `kf verify board --gate`.
# Never hand-edit to raise a floor - reconstruct/name the symbol instead.
src func_ refs	25
src DAT_ refs	925
GAME extern decls	0
source-local extern decls	0
pointer casts	445
void* views	35
byte-array views	30
.c-local aggregates	11
unresolved func_ identities	128
unresolved DAT_ identities	3124
