# MANUALLY REVIEWED - all explicit brace/string variable initializers, including SDK MATRIX aggregates; values reviewed through their element/member types.
declaration	name	datatype	verdict	finding	note
src/game/actor.c:46	actor_action_profiles	KfActorActionProfile[25]	numeric		Five halfword distances and random-selection weights; the row selector has its own effect-code domain.
src/game/actor.c:79	boss_death_phase_sounds	SoundRef[4]	sdk_audio		SDK program, tone and note numbers passed to sound APIs; numerical handles/pitch, not game selectors.
src/game/audio.c:67	path	char[20]	encoded_content		Filename, path template, debug text or number-formatting character buffer; byte positions hold character encodings.
src/game/cd_file.c:12	cd_path_prefix	char[5]	encoded_content		Filename, path template, debug text or number-formatting character buffer; byte positions hold character encodings.
src/game/cd_file.c:14	cd_version_suffix	char[3]	encoded_content		Filename, path template, debug text or number-formatting character buffer; byte positions hold character encodings.
src/game/collision.c:11	map_cell_attribute_height_table	s16[255]	numeric_geometry		Signed height values looked up using typed map attributes and consumed in collision geometry.
src/game/display_play_transition.c:14	fade_screen_rect	KfScreenRect	numeric_geometry		Screen rectangle positions and dimensions; no categorical element.
src/game/display_play_transition.c:18	fade_screen_uv	FadeUv	packed_gpu		Interleaved numerical UV/span descriptor bytes.
src/game/display_play_transition.c:22	fade_screen_color	CVECTOR	sdk_record		Numerical RGB intensities and the SDK packed GPU command/padding byte; no game selector field.
src/game/display_play_transition.c:24	fade_screen_path	char[7]	encoded_content		Filename, path template, debug text or number-formatting character buffer; byte positions hold character encodings.
src/game/effect_dispatch.c:104	effect_swing_probe_offsets	SVECTOR[2]	numeric_geometry		SDK vector coordinates/rotation/displacements and padding; quantitative geometry.
src/game/effect_map_collision.c:8	map_cell_height_records	KfCellHeightRecord[7]	numeric_geometry		Cell-height coefficients and geometric dimensions evaluated arithmetically.
src/game/effect_update.c:28	floor_deform_segments	KfFloorDeformSegment[5]	numeric_geometry		Coordinate ranges, modulo-256 steps, counts and interpolated heights.
src/game/entity_render.c:19	floor_item_sprites	KfSpriteQuad[7]	numeric_geometry	A2	All eight members are UV origins/spans and quad coordinates/dimensions. Fixed-bank selection is represented separately by KfFloorItemSpriteId or KfEffectBillboardId.
src/game/entity_render.c:30	effect_billboard_sprites	KfSpriteQuad[22]	numeric_geometry		All eight members are UV origins/spans and quad coordinates/dimensions. Fixed-bank selection is represented separately by KfFloorItemSpriteId or KfEffectBillboardId.
