# Reviewed with image-qualified addr/disasm --blocks/xref/xref --callees/strings/match before edits.
# No C or assembly SDK bodies are introduced. Attribution is not new game matching progress.
image	va	previous_extent	name	game_twin	archive	member_offset	retail_extent	body_and_referents	verdict
OPEN.EXE	0x80022c7c	0xb0	SpuVmSelectToneAndVag	0x80042e5c	LIBSND.LIB/VMANAGER.OBJ	0xad0	0xb0	SDK tone-range selection; only SpuVmKeyOn calls it; two private-data pairs; Release 2.5 differs in one data-layout immediate	sdk-lineage-supported; exact SDK revision unresolved
OPEN.EXE	0x80022d2c	0x17c	SpuVmDoAllocate	0x80042f0c	LIBSND.LIB/VMANAGER.OBJ	0xb80	0x17c	SDK selected-voice register setup; SpuVmKeyOn/SsUtKeyOn callers; no calls; retail omits the archive voice-clear loop and uses 0xffff	sdk-lineage-supported; exact SDK revision unresolved
OPEN.EXE	0x80022ebc	0x10	SpuVmDamperOff	0x8004309c	LIBSND.LIB/VMANAGER.OBJ	0xd54	0x10	SetControlChange caller; clears the damper halfword at 0x80037730; adjacent exact SpuVmDamperOn control	sdk-lineage-supported; exact SDK revision unresolved
OPEN.EXE	0x80022ecc	0x32c	vmNoiseOn	0x800430ac	LIBSND.LIB/VMANAGER.OBJ	0xd64	0x32c	SpuVmKeyOn/SsUtKeyOn callers; private sequence volume and pan; voice/noise/reverb masks; no calls; version-skewed 0x32c versus archive 0x35c	sdk-lineage-supported; exact SDK revision unresolved
OPEN.EXE	0x800231f8	0xc8	vmNoiseOn2	0x800433d8	LIBSND.LIB/VMANAGER.OBJ	0x10c0	0xc8	SpuVmNoiseOnWithAdsr caller; byte voice selector and two ADSR halfword stores; one internal jump; version-skewed omitted noise-mask clears	sdk-lineage-supported; exact SDK revision unresolved
OPEN.EXE	0x8002c308	0x54	LoadAverage12	0x8004c294	LIBGTE.LIB/MSC.OBJ	0x68	0x54	GPF/GPL VECTOR interpolation sf=1; no calls/xrefs/strings/relocations; exact archive body plus duplicate swc2 at +0x40	sdk-lineage-supported; exact SDK revision unresolved
OPEN.EXE	0x8002c35c	0x54	LoadAverage0	0x8004c2e8	LIBGTE.LIB/MSC.OBJ	0xb8	0x54	GPF/GPL VECTOR interpolation sf=0; no calls/xrefs/strings/relocations; exact archive body plus duplicate swc2 at +0x40	sdk-lineage-supported; exact SDK revision unresolved
OPEN.EXE	0x8002c3b0	0x8c	LoadAverageShort12	0x8004c33c	LIBGTE.LIB/MSC.OBJ	0x108	0x8c	GPF/GPL SVECTOR interpolation sf=1; no calls/xrefs/strings/relocations; exact archive body plus duplicate mfc2 at +0x60	sdk-lineage-supported; exact SDK revision unresolved
OPEN.EXE	0x8002c43c	0x8c	LoadAverageShort0	0x8004c3c8	LIBGTE.LIB/MSC.OBJ	0x190	0x8c	GPF/GPL SVECTOR interpolation sf=0; no calls/xrefs/strings/relocations; exact archive body plus duplicate mfc2 at +0x60	sdk-lineage-supported; exact SDK revision unresolved
OPEN.EXE	0x8002c4c8	0x60	LoadAverageByte	0x8004c454	LIBGTE.LIB/MSC.OBJ	0x218	0x60	two-byte interpolation; fifth output pointer on stack; no calls/xrefs/strings/relocations; exact archive body plus duplicate mfc2 at +0x40	sdk-lineage-supported; exact SDK revision unresolved
OPEN.EXE	0x8002c528	0x78	LoadAverageCol	0x8004c4b4	LIBGTE.LIB/MSC.OBJ	0x274	0x78	three-byte RGB interpolation; fifth output pointer on stack; no calls/xrefs/strings/relocations; exact archive body plus duplicate mfc2 at +0x50	sdk-lineage-supported; exact SDK revision unresolved
OPEN.EXE	0x8002c7b4	0x80	SquareRoot12	0x8004c740	LIBGTE.LIB/MSC.OBJ	0x4fc	0x94	GTE leading-zero count and sqrt table 0x800361cc; exact archive body after its two encoded address lows are masked; includes branch tails +0x80 and +0x8c	exact-release25 SDK owner; restore complete boundary
OPEN.EXE	0x8002c834	0xc	SquareRoot12 internal return tail	0x8004c740	LIBGTE.LIB/MSC.OBJ	0x4fc	0x94	proven branch from 0x8002c7b4; no call; incoming t1/t5 live state or zero return; SDK byte/control-flow boundary	removed false function start; label at owner+0x80
OPEN.EXE	0x8002c840	0x8	SquareRoot12 internal return tail	0x8004c740	LIBGTE.LIB/MSC.OBJ	0x4fc	0x94	proven branch from 0x8002c7b4; no call; incoming t1/t5 live state or zero return; SDK byte/control-flow boundary	removed false function start; label at owner+0x8c
