# Relocation-masked exact .text matches against the Psy-Q Release 2.5 library archive.
# Derived from the preserved investigation output and retained as an auditable seed input.
library	module	block_size	compared_bits	relocations_masked	image	image_occurrences	archive_candidate_count	archive_candidates	match_confidence	ram_va
LIBSN.LIB	SNMAIN	204	1324	18	PSX.EXE	1	1	LIBSN.LIB/SNMAIN/.text	strong_unique	0x800100f8
LIBCD.LIB	SYS	2124	15236	86	GAME.EXE	1	1	LIBCD.LIB/SYS/.text	strong_unique	0x8003ac6c
LIBCD.LIB	EVENT	320	1952	28	GAME.EXE	1	1	LIBCD.LIB/EVENT/.text	strong_unique	0x8003c570
LIBCD.LIB	96VEC	352	2500	16	GAME.EXE	1	1	LIBCD.LIB/96VEC/.text	strong_unique	0x8003c6b0
LIBCD.LIB	CDROM	3980	24720	420	GAME.EXE	1	1	LIBCD.LIB/CDROM/.text	strong_unique	0x8003d2cc
LIBSPU.LIB	S_M_INT	3572	24966	205	GAME.EXE	1	1	LIBSPU.LIB/S_M_INT/.text	strong_unique	0x80041564
LIBSPU.LIB	S_SR	172	990	21	GAME.EXE	1	1	LIBSPU.LIB/S_SR/.text	short_unique	0x800464d4
LIBSPU.LIB	S_ITC	236	1470	23	GAME.EXE	1	1	LIBSPU.LIB/S_ITC/.text	strong_unique	0x80046580
LIBSPU.LIB	S_STM	84	556	6	GAME.EXE	1	1	LIBSPU.LIB/S_STM/.text	short_unique	0x8004666c
LIBSPU.LIB	S_STSA	108	780	4	GAME.EXE	1	1	LIBSPU.LIB/S_STSA/.text	short_unique	0x800466c0
LIBSPU.LIB	S_R	80	582	3	GAME.EXE	1	2	LIBSPU.LIB/S_R/.text,LIBSPU.LIB/S_W/.text	archive_ambiguous	0x8004672c
LIBSPU.LIB	S_W	80	582	3	GAME.EXE	1	2	LIBSPU.LIB/S_R/.text,LIBSPU.LIB/S_W/.text	archive_ambiguous	0x8004672c
LIBSPU.LIB	S_WP	136	946	7	GAME.EXE	1	1	LIBSPU.LIB/S_WP/.text	short_unique	0x8004677c
LIBSND.LIB	SCSMVOL	88	678	1	GAME.EXE	1	1	LIBSND.LIB/SCSMVOL/.text	short_unique	0x80046834
LIBSND.LIB	SESKON	76	582	1	GAME.EXE	1	1	LIBSND.LIB/SESKON/.text	short_unique	0x8004688c
LIBSND.LIB	ADSR	232	1856	0	GAME.EXE	1	1	LIBSND.LIB/ADSR/.text	strong_unique	0x80049fd0
LIBGTE.LIB	COR	2172	16338	43	GAME.EXE	1	1	LIBGTE.LIB/COR/.text	strong_unique	0x8004b9b0
LIBGTE.LIB	REG	672	5376	0	GAME.EXE	1	1	LIBGTE.LIB/REG/.text	strong_unique	0x8004c9ac
LIBGTE.LIB	GEO	4276	32932	56	GAME.EXE	1	1	LIBGTE.LIB/GEO/.text	strong_unique	0x8004e94c
LIBGPU.LIB	TMD	5948	44288	156	GAME.EXE	1	1	LIBGPU.LIB/TMD/.text	strong_unique	0x800529a0
LIBGPU.LIB	PRIM	1732	12790	61	GAME.EXE	1	1	LIBGPU.LIB/PRIM/.text	strong_unique	0x800540dc
LIBGPU.LIB	EXT	524	3958	9	GAME.EXE	1	1	LIBGPU.LIB/EXT/.text	strong_unique	0x800547a0
LIBGPU.LIB	OTAG	884	6106	51	GAME.EXE	1	1	LIBGPU.LIB/OTAG/.text	strong_unique	0x800549ac
LIBGPU.LIB	SPRINTF	2192	16610	41	GAME.EXE	1	1	LIBGPU.LIB/SPRINTF/.text	strong_unique	0x80054d20
