# Reviewed SDK ownership evidence; see docs/patterns/sdk-data-ownership.md.
# Retail and native reference sites may belong to a consumer distinct from the defining module.
# Field seeds retain unresolved private names/types/extents; ownership alone is supported.
image	va	size	owner	basis	library	module	section	retail_site	sdk_site	referent	consumer_library	consumer_module	paired_site	decoded_target	note
GAME.EXE	0x8005630c	0x4	libcd_bios	native-relocation	LIBCD.LIB	BIOS	.data	0x8003acb4	0x48	CD_comstr	LIBCD.LIB	SYS	0x8003acb8	0x8005630c	matched native reference establishes module ownership; private identity and complete layout remain WIP
GAME.EXE	0x80056310	0x4	libcd_bios	initialized-section	LIBCD.LIB	BIOS	.data	0x8003acb4	0x48	.data base 0x8005630c, extent 0x214	LIBCD.LIB	SYS	0x8003acb8	0x8005630c	fixed initialized bytes and native relocations reviewed
GAME.EXE	0x80056314	0x4	libcd_bios	initialized-section	LIBCD.LIB	BIOS	.data	0x8003acb4	0x48	.data base 0x8005630c, extent 0x214	LIBCD.LIB	SYS	0x8003acb8	0x8005630c	fixed initialized bytes and native relocations reviewed
GAME.EXE	0x80056318	0x4	libcd_bios	initialized-section	LIBCD.LIB	BIOS	.data	0x8003acb4	0x48	.data base 0x8005630c, extent 0x214	LIBCD.LIB	SYS	0x8003acb8	0x8005630c	fixed initialized bytes and native relocations reviewed
GAME.EXE	0x8005631c	0x4	libcd_bios	initialized-section	LIBCD.LIB	BIOS	.data	0x8003acb4	0x48	.data base 0x8005630c, extent 0x214	LIBCD.LIB	SYS	0x8003acb8	0x8005630c	fixed initialized bytes and native relocations reviewed
GAME.EXE	0x80056320	0x4	libcd_bios	initialized-section	LIBCD.LIB	BIOS	.data	0x8003acb4	0x48	.data base 0x8005630c, extent 0x214	LIBCD.LIB	SYS	0x8003acb8	0x8005630c	fixed initialized bytes and native relocations reviewed
GAME.EXE	0x80056324	0x4	libcd_bios	initialized-section	LIBCD.LIB	BIOS	.data	0x8003acb4	0x48	.data base 0x8005630c, extent 0x214	LIBCD.LIB	SYS	0x8003acb8	0x8005630c	fixed initialized bytes and native relocations reviewed
GAME.EXE	0x80056328	0x4	libcd_bios	initialized-section	LIBCD.LIB	BIOS	.data	0x8003acb4	0x48	.data base 0x8005630c, extent 0x214	LIBCD.LIB	SYS	0x8003acb8	0x8005630c	fixed initialized bytes and native relocations reviewed
GAME.EXE	0x8005632c	0x4	libcd_bios	initialized-section	LIBCD.LIB	BIOS	.data	0x8003acb4	0x48	.data base 0x8005630c, extent 0x214	LIBCD.LIB	SYS	0x8003acb8	0x8005630c	fixed initialized bytes and native relocations reviewed
GAME.EXE	0x80056330	0x4	libcd_bios	initialized-section	LIBCD.LIB	BIOS	.data	0x8003acb4	0x48	.data base 0x8005630c, extent 0x214	LIBCD.LIB	SYS	0x8003acb8	0x8005630c	fixed initialized bytes and native relocations reviewed
GAME.EXE	0x80056334	0x4	libcd_bios	initialized-section	LIBCD.LIB	BIOS	.data	0x8003acb4	0x48	.data base 0x8005630c, extent 0x214	LIBCD.LIB	SYS	0x8003acb8	0x8005630c	fixed initialized bytes and native relocations reviewed
GAME.EXE	0x80056338	0x4	libcd_bios	initialized-section	LIBCD.LIB	BIOS	.data	0x8003acb4	0x48	.data base 0x8005630c, extent 0x214	LIBCD.LIB	SYS	0x8003acb8	0x8005630c	fixed initialized bytes and native relocations reviewed
GAME.EXE	0x8005633c	0x4	libcd_bios	initialized-section	LIBCD.LIB	BIOS	.data	0x8003acb4	0x48	.data base 0x8005630c, extent 0x214	LIBCD.LIB	SYS	0x8003acb8	0x8005630c	fixed initialized bytes and native relocations reviewed
GAME.EXE	0x80056340	0x4	libcd_bios	initialized-section	LIBCD.LIB	BIOS	.data	0x8003acb4	0x48	.data base 0x8005630c, extent 0x214	LIBCD.LIB	SYS	0x8003acb8	0x8005630c	fixed initialized bytes and native relocations reviewed
GAME.EXE	0x80056344	0x4	libcd_bios	initialized-section	LIBCD.LIB	BIOS	.data	0x8003acb4	0x48	.data base 0x8005630c, extent 0x214	LIBCD.LIB	SYS	0x8003acb8	0x8005630c	fixed initialized bytes and native relocations reviewed
