# MANUALLY MANAGED - semantic WIP identities for globals/statics in load and BSS storage.
# Strings retain their decoded content in data.tsv; unclassified coverage gaps are excluded.
# Address-only DAT_ names and unknown scope are unresolved, not semantic claims.
# Directly accessed Ghidra RAM extents are merged address-only BSS candidates.
# Future analysis writes build/function-inventory proposals and never overwrites this file.
image	va	size	name	scope	storage	datatype	owner	confidence	evidence	note
PSX.EXE	0x80010000	0x14	overlay_path_GAME	global	load			supported	data.tsv:direct-bytes	initial data-identity seed
PSX.EXE	0x80010014	0x14	overlay_path_OPEN	global	load			supported	data.tsv:direct-bytes	initial data-identity seed
PSX.EXE	0x80010224	0x8	overlay_path_table	global	load			supported	data.tsv:direct-references	initial data-identity seed
PSX.EXE	0x8001022c	0x4	_stacksize	global	load			supported	data.tsv:exact-linked-symbol	initial data-identity seed
PSX.EXE	0x80010230	0x4	SNMAIN_sbss	global	load			supported	data.tsv:exact-linked-section	initial data-identity seed
PSX.EXE	0x80010234	0x4	DAT_80010234	unknown	load	undefined4		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012000	0x4	DAT_80012000	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012004	0x4	DAT_80012004	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012008	0x4	DAT_80012008	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x8001200c	0x4	DAT_8001200c	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012010	0x4	DAT_80012010	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012014	0x4	DAT_80012014	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012018	0x4	DAT_80012018	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x8001201c	0x4	DAT_8001201c	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012020	0x4	DAT_80012020	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012024	0x4	DAT_80012024	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012028	0x4	DAT_80012028	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012030	0x4	DAT_80012030	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
