# MANUALLY MANAGED - admitted WIP retail function census; one row per current start.
# Seed/audit tooling writes build/retail-seed only; review and edit this file by hand.
# Each address is qualified by image because GAME.EXE and OPEN.EXE are separate overlays.
# Function extents are WIP and may include owned jump tables/padding or miss indirect-only code.
# Independent MIPS carving added anonymous frame/return candidates with explicit confidence.
image	va	file_offset	size	body_size	fragments	kind	confidence	name	labels	provenance	note
PSX.EXE	0x80010028	0x828	0xd0	0xd0	1	function	exact-linked-xref	main		LIBSN/SNMAIN plus retail CFG	SNMAIN main XREF resolves to this JAL target; the five words after the loop-back jump are the compiler's unreachable epilogue (lw ra/s1/s0; jr; addiu sp), so the body spans the whole extent
PSX.EXE	0x800100f8	0x8f8	0x8	0x8	1	function	exact-linked-symbol	__main		LIBSN/SNMAIN	XDEF offset 0 in exact matched text section
PSX.EXE	0x80010100	0x900	0xb4	0xb4	1	function	exact-linked-symbol	__SN_ENTRY_POINT	+0x0=stup2;+0x24=stup1;+0xa8=stup0	LIBSN/SNMAIN	XDEF offset 8 and PS-X EXE entry; XDEF offset 0x2c; XDEF offset 0xb0
PSX.EXE	0x800101c4	0x9c4	0x10	0x10	1	function	exact-complete-object	EnterCriticalSection		LIBAPI/A36	all 16 member bytes match
PSX.EXE	0x800101d4	0x9d4	0x10	0xc	1	function	exact-complete-object	_96_init		LIBAPI/C113	all 16 member bytes match
PSX.EXE	0x800101e4	0x9e4	0x10	0xc	1	function	exact-complete-object	InitHeap		LIBAPI/C57	all 16 member bytes match
PSX.EXE	0x800101f4	0x9f4	0x10	0xc	1	function	exact-complete-object	Load		LIBAPI/C66	all 16 member bytes match
PSX.EXE	0x80010204	0xa04	0x10	0xc	1	function	exact-complete-object	Exec		LIBAPI/C67	all 16 member bytes match
PSX.EXE	0x80010214	0xa14	0x10	0xc	1	function	exact-complete-object	_96_remove		LIBAPI/C114	all 16 member bytes match
GAME.EXE	0x80014268	0x2a68	0x24	0x24	1	function	ghidra-analysis			Ghidra-12.0.4/ghidra_psx_ldr-2026.07.08	machine-assisted WIP boundary
GAME.EXE	0x8001428c	0x2a8c	0x88	0x88	1	function	ghidra-analysis			Ghidra-12.0.4/ghidra_psx_ldr-2026.07.08	machine-assisted WIP boundary
GAME.EXE	0x80014314	0x2b14	0x1c0	0x1c0	1	function	ghidra-analysis			Ghidra-12.0.4/ghidra_psx_ldr-2026.07.08	machine-assisted WIP boundary
GAME.EXE	0x800144d4	0x2cd4	0x1a0	0x1a0	1	function	ghidra-analysis			Ghidra-12.0.4/ghidra_psx_ldr-2026.07.08	machine-assisted WIP boundary
GAME.EXE	0x80014674	0x2e74	0x44	0x44	1	function	ghidra-analysis			Ghidra-12.0.4/ghidra_psx_ldr-2026.07.08	machine-assisted WIP boundary
GAME.EXE	0x800146b8	0x2eb8	0x2e4	0x2e4	1	function	ghidra-analysis			Ghidra-12.0.4/ghidra_psx_ldr-2026.07.08	machine-assisted WIP boundary
GAME.EXE	0x8001499c	0x319c	0x38	0x38	1	function	ghidra-analysis			Ghidra-12.0.4/ghidra_psx_ldr-2026.07.08	machine-assisted WIP boundary
GAME.EXE	0x800149d4	0x31d4	0x20	0x20	1	function	mips-return-carve			scripts/kf/audit_functions.py	anonymous WIP start; previous-return+return-delimited-valid-code+relocation-candidate
GAME.EXE	0x800149f4	0x31f4	0x70	0x70	1	function	ghidra-analysis			Ghidra-12.0.4/ghidra_psx_ldr-2026.07.08	machine-assisted WIP boundary
GAME.EXE	0x80014a64	0x3264	0xc8	0xc8	1	function	ghidra-analysis			Ghidra-12.0.4/ghidra_psx_ldr-2026.07.08	machine-assisted WIP boundary
GAME.EXE	0x80014b2c	0x332c	0x50	0x50	1	function	ghidra-analysis			Ghidra-12.0.4/ghidra_psx_ldr-2026.07.08	machine-assisted WIP boundary
GAME.EXE	0x80014b7c	0x337c	0x70	0x70	1	function	ghidra-analysis			Ghidra-12.0.4/ghidra_psx_ldr-2026.07.08	machine-assisted WIP boundary
GAME.EXE	0x80014bec	0x33ec	0x70	0x70	1	function	ghidra-analysis			Ghidra-12.0.4/ghidra_psx_ldr-2026.07.08	machine-assisted WIP boundary
GAME.EXE	0x80014c5c	0x345c	0x70	0x70	1	function	ghidra-analysis			Ghidra-12.0.4/ghidra_psx_ldr-2026.07.08	machine-assisted WIP boundary
GAME.EXE	0x80014ccc	0x34cc	0x68	0x68	1	function	ghidra-analysis			Ghidra-12.0.4/ghidra_psx_ldr-2026.07.08	machine-assisted WIP boundary
GAME.EXE	0x80014d34	0x3534	0xd4	0xd4	1	function	ghidra-analysis			Ghidra-12.0.4/ghidra_psx_ldr-2026.07.08	machine-assisted WIP boundary
GAME.EXE	0x80014e08	0x3608	0x40	0x40	1	function	ghidra-analysis			Ghidra-12.0.4/ghidra_psx_ldr-2026.07.08	machine-assisted WIP boundary
GAME.EXE	0x80014e48	0x3648	0x5c	0x5c	1	function	ghidra-analysis			Ghidra-12.0.4/ghidra_psx_ldr-2026.07.08	machine-assisted WIP boundary
GAME.EXE	0x80014ea4	0x36a4	0x40	0x40	1	function	mips-return-carve			scripts/kf/audit_functions.py	anonymous WIP start; previous-return+return-delimited-valid-code
GAME.EXE	0x80014ee4	0x36e4	0x5c	0x5c	1	function	mips-return-carve			scripts/kf/audit_functions.py	anonymous WIP start; previous-return+return-delimited-valid-code
GAME.EXE	0x80014f40	0x3740	0x2c	0x2c	1	function	ghidra-analysis			Ghidra-12.0.4/ghidra_psx_ldr-2026.07.08	machine-assisted WIP boundary
GAME.EXE	0x80014f6c	0x376c	0x3c	0x3c	1	function	ghidra-analysis			Ghidra-12.0.4/ghidra_psx_ldr-2026.07.08	machine-assisted WIP boundary
GAME.EXE	0x80014fa8	0x37a8	0x10	0x10	1	function	ghidra-analysis			Ghidra-12.0.4/ghidra_psx_ldr-2026.07.08	machine-assisted WIP boundary
GAME.EXE	0x80014fb8	0x37b8	0xb0	0xb0	1	function	ghidra-analysis			Ghidra-12.0.4/ghidra_psx_ldr-2026.07.08	machine-assisted WIP boundary
GAME.EXE	0x80015068	0x3868	0x40	0x40	1	function	ghidra-analysis			Ghidra-12.0.4/ghidra_psx_ldr-2026.07.08	machine-assisted WIP boundary
GAME.EXE	0x800150a8	0x38a8	0x54	0x54	1	function	ghidra-analysis			Ghidra-12.0.4/ghidra_psx_ldr-2026.07.08	machine-assisted WIP boundary
GAME.EXE	0x800150fc	0x38fc	0x2c	0x2c	1	function	ghidra-analysis			Ghidra-12.0.4/ghidra_psx_ldr-2026.07.08	machine-assisted WIP boundary
GAME.EXE	0x80015128	0x3928	0x3c	0x3c	1	function	ghidra-analysis			Ghidra-12.0.4/ghidra_psx_ldr-2026.07.08	machine-assisted WIP boundary
GAME.EXE	0x80015164	0x3964	0x68	0x68	1	function	ghidra-analysis			Ghidra-12.0.4/ghidra_psx_ldr-2026.07.08	machine-assisted WIP boundary
GAME.EXE	0x800151cc	0x39cc	0x2e4	0x2e4	1	function	ghidra-analysis			Ghidra-12.0.4/ghidra_psx_ldr-2026.07.08	machine-assisted WIP boundary
GAME.EXE	0x800154b0	0x3cb0	0x19c	0x19c	1	function	ghidra-analysis			Ghidra-12.0.4/ghidra_psx_ldr-2026.07.08	machine-assisted WIP boundary
