# Hand-owned WIP Sony/Psy-Q ownership layered over config/retail/functions.tsv.
# Release 2.5 exact objects and project-built FIDs outrank version-skewed Psy-Q 2.60 signatures.
# Regenerated seeds are review candidates; edit and admit changes here manually.
image	va	size	name	aliases	provider	library	module	member_offset	source_version	evidence	confidence	provenance	note
PSX.EXE	0x800100f8	0x8	__main		Sony Computer Entertainment	LIBSN.LIB	SNMAIN	0x0	Psy-Q Release 2.5	relocation-masked-object-section	exact-release25	psyq_release_25_text_sections.tsv;psy-k-0.4.0-XDEF	function extent lies within exact 0xcc-byte .text match (1324 compared bits; 18 relocations masked)
PSX.EXE	0x80010100	0xb4	__SN_ENTRY_POINT	stup2	Sony Computer Entertainment	LIBSN.LIB	SNMAIN	0x8	Psy-Q Release 2.5	relocation-masked-object-section	exact-release25	psyq_release_25_text_sections.tsv;psy-k-0.4.0-XDEF	function extent lies within exact 0xcc-byte .text match (1324 compared bits; 18 relocations masked)
PSX.EXE	0x800101c4	0x10	EnterCriticalSection		Sony Computer Entertainment	LIBAPI.LIB	A36	0x0	Psy-Q Release 2.5	complete-object-byte-match	exact-release25-complete	psyq_release_25_complete_objects.tsv;psy-k-0.4.0-XDEF;psyq-release25-fid:6ecdc4717cdb:7aeedcc0ed1b	all 16 member bytes match; corroborated by unique symbol-object-end function FID
PSX.EXE	0x800101d4	0x10	_96_init		Sony Computer Entertainment	LIBAPI.LIB	C113	0x0	Psy-Q Release 2.5	complete-object-byte-match	exact-release25-complete	psyq_release_25_complete_objects.tsv;psy-k-0.4.0-XDEF;psyq-release25-fid:7dad1b1e2e32:830ce4f3fa78	all 16 member bytes match; corroborated by unique symbol-object-end function FID
PSX.EXE	0x800101e4	0x10	InitHeap		Sony Computer Entertainment	LIBAPI.LIB	C57	0x0	Psy-Q Release 2.5	complete-object-byte-match	exact-release25-complete	psyq_release_25_complete_objects.tsv;psy-k-0.4.0-XDEF;psyq-release25-fid:778de206befa:b6d724543f28	all 16 member bytes match; corroborated by unique symbol-object-end function FID
PSX.EXE	0x800101f4	0x10	Load		Sony Computer Entertainment	LIBAPI.LIB	C66	0x0	Psy-Q Release 2.5	complete-object-byte-match	exact-release25-complete	psyq_release_25_complete_objects.tsv;psy-k-0.4.0-XDEF;psyq-release25-fid:37916f039bc9:b1bc244aaf3e	all 16 member bytes match; corroborated by unique symbol-object-end function FID
PSX.EXE	0x80010204	0x10	Exec		Sony Computer Entertainment	LIBAPI.LIB	C67	0x0	Psy-Q Release 2.5	complete-object-byte-match	exact-release25-complete	psyq_release_25_complete_objects.tsv;psy-k-0.4.0-XDEF;psyq-release25-fid:af164410224a:359faa1a18cf	all 16 member bytes match; corroborated by unique symbol-object-end function FID
PSX.EXE	0x80010214	0x10	_96_remove		Sony Computer Entertainment	LIBAPI.LIB	C114	0x0	Psy-Q Release 2.5	complete-object-byte-match	exact-release25-complete	psyq_release_25_complete_objects.tsv;psy-k-0.4.0-XDEF;psyq-release25-fid:c72dd20dcda2:66ca3ef17566	all 16 member bytes match; corroborated by unique symbol-object-end function FID
GAME.EXE	0x8003ac54	0x8	__main		Sony Computer Entertainment	NONE2.OBJ	NONE2	0x0	Psy-Q 2.60 signature corpus	wildcard-object-signature	psyq260-signature	ghidra_psx_ldr-2026.07.08/psyq/260	unique image occurrence; 17/24 bytes fixed
GAME.EXE	0x8003ac5c	0x10	__SN_ENTRY_POINT	stup1;stup2	Sony Computer Entertainment	NONE2.OBJ	NONE2	0x8	Psy-Q 2.60 signature corpus	wildcard-object-signature	psyq260-signature	ghidra_psx_ldr-2026.07.08/psyq/260	unique image occurrence; 17/24 bytes fixed
