# MANUALLY MANAGED - admitted WIP relocation candidate census.
# Seed/audit tooling writes build proposals only; review and edit this file by hand.
# Each address is qualified by image because GAME.EXE and OPEN.EXE are separate overlays.
# PS-X EXE retains no relocation directory: candidate does not mean linker truth.
# BSS pair-scan rows remain withheld by safe delinking until individually reviewed.
image	site_va	site_file_offset	paired_site_va	kind	channel	target_va	target_region	target_name	opcode	register	confidence	status	provenance
PSX.EXE	0x80010034	0x834		mips26	reachable-code	0x800100f8	load	__main	jal		control-flow	candidate	investigation:relocs.tsv
PSX.EXE	0x8001003c	0x83c		mips26	reachable-code	0x80010214	load	_96_remove	jal		control-flow	candidate	investigation:relocs.tsv
PSX.EXE	0x8001004c	0x84c	0x80010050	mips_hi16_lo16	reachable-code	0x80010224	load	overlay_path_table	lui+addiu	s1	paired-reachable	candidate	investigation:relocs.tsv
PSX.EXE	0x8001005c	0x85c		mips26	reachable-code	0x800101d4	load	_96_init	jal		control-flow	candidate	investigation:relocs.tsv
PSX.EXE	0x80010068	0x868		mips26	reachable-code	0x800101f4	load	Load	jal		control-flow	candidate	investigation:relocs.tsv
PSX.EXE	0x80010078	0x878		mips26	reachable-code	0x80010214	load	_96_remove	jal		control-flow	candidate	investigation:relocs.tsv
PSX.EXE	0x80010084	0x884		mips26	reachable-code	0x800101c4	load	EnterCriticalSection	jal		control-flow	candidate	investigation:relocs.tsv
PSX.EXE	0x80010094	0x894		mips26	reachable-code	0x80010204	load	Exec	jal		control-flow	candidate	investigation:relocs.tsv
PSX.EXE	0x8001009c	0x89c		mips26	reachable-code	0x800101d4	load	_96_init	jal		control-flow	candidate	investigation:relocs.tsv
PSX.EXE	0x800100a8	0x8a8		mips26	reachable-code	0x800101f4	load	Load	jal		control-flow	candidate	investigation:relocs.tsv
PSX.EXE	0x800100b8	0x8b8		mips26	reachable-code	0x80010214	load	_96_remove	jal		control-flow	candidate	investigation:relocs.tsv
PSX.EXE	0x800100c4	0x8c4		mips26	reachable-code	0x800101c4	load	EnterCriticalSection	jal		control-flow	candidate	investigation:relocs.tsv
PSX.EXE	0x800100d4	0x8d4		mips26	reachable-code	0x80010204	load	Exec	jal		control-flow	candidate	investigation:relocs.tsv
PSX.EXE	0x800100dc	0x8dc		mips26	reachable-code	0x80010054	load		j		control-flow	candidate	investigation:relocs.tsv
PSX.EXE	0x80010100	0x900	0x80010104	mips_hi16_lo16	reachable-code	0x80010230	load	SNMAIN_sbss	lui+addiu	v0	paired-reachable	candidate	investigation:relocs.tsv
PSX.EXE	0x80010108	0x908	0x8001010c	mips_hi16_lo16	reachable-code	0x80010234	load		lui+addiu	v1	paired-reachable	candidate	investigation:relocs.tsv
PSX.EXE	0x80010138	0x938	0x8001013c	mips_hi16_lo16	reachable-code	0x800101b4	load		lui+addiu	a0	paired-reachable	candidate	investigation:relocs.tsv
PSX.EXE	0x80010158	0x958	0x8001015c	mips_hi16_lo16	reachable-code	0x80010234	load		lui+addiu	a0	paired-reachable	candidate	investigation:relocs.tsv
PSX.EXE	0x80010168	0x968	0x8001016c	mips_hi16_lo16	reachable-code	0x8001022c	load	_stacksize	lui+lw	v1	paired-reachable	candidate	investigation:relocs.tsv
PSX.EXE	0x80010180	0x980	0x80010184	mips_hi16_lo16	reachable-code	0x80010230	load	SNMAIN_sbss	lui+sw	at	paired-reachable	candidate	investigation:relocs.tsv
PSX.EXE	0x80010188	0x988	0x8001018c	mips_hi16_lo16	reachable-code	0x80010230	load	SNMAIN_sbss	lui+addiu	gp	paired-reachable	candidate	investigation:relocs.tsv
PSX.EXE	0x80010194	0x994		mips26	reachable-code	0x800101e4	load	InitHeap	jal		control-flow	candidate	investigation:relocs.tsv
PSX.EXE	0x8001019c	0x99c	0x800101a0	mips_hi16_lo16	reachable-code	0x80010230	load	SNMAIN_sbss	lui+lw	ra	paired-reachable	candidate	investigation:relocs.tsv
PSX.EXE	0x800101a8	0x9a8		mips26	reachable-code	0x80010028	load	main	jal		control-flow	candidate	investigation:relocs.tsv
PSX.EXE	0x80010224	0xa24		mips32_candidate	raw-word	0x80010014	load	overlay_path_OPEN	.word		range-only	candidate	investigation:relocs.tsv
PSX.EXE	0x80010228	0xa28		mips32_candidate	raw-word	0x80010000	load	overlay_path_GAME	.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x80012000	0x800		mips32_candidate	raw-word	0x80015d88	load		.word		pointer-reviewed	reviewed	manual:game_semantic_player_stats
GAME.EXE	0x80012004	0x804		mips32_candidate	raw-word	0x80015db4	load		.word		pointer-reviewed	reviewed	manual:game_semantic_player_stats
GAME.EXE	0x80012008	0x808		mips32_candidate	raw-word	0x80015db4	load		.word		pointer-reviewed	reviewed	manual:game_semantic_player_stats
GAME.EXE	0x8001200c	0x80c		mips32_candidate	raw-word	0x80015db4	load		.word		pointer-reviewed	reviewed	manual:game_semantic_player_stats
GAME.EXE	0x80012010	0x810		mips32_candidate	raw-word	0x80015db4	load		.word		pointer-reviewed	reviewed	manual:game_semantic_player_stats
GAME.EXE	0x80012014	0x814		mips32_candidate	raw-word	0x80015db4	load		.word		pointer-reviewed	reviewed	manual:game_semantic_player_stats
GAME.EXE	0x80012018	0x818		mips32_candidate	raw-word	0x80015d38	load		.word		pointer-reviewed	reviewed	manual:game_semantic_player_stats
GAME.EXE	0x8001201c	0x81c		mips32_candidate	raw-word	0x80015d4c	load		.word		pointer-reviewed	reviewed	manual:game_semantic_player_stats
GAME.EXE	0x80012020	0x820		mips32_candidate	raw-word	0x80015d60	load		.word		pointer-reviewed	reviewed	manual:game_semantic_player_stats
GAME.EXE	0x80012024	0x824		mips32_candidate	raw-word	0x80015d74	load		.word		pointer-reviewed	reviewed	manual:game_semantic_player_stats
GAME.EXE	0x80012028	0x828		mips32_candidate	raw-word	0x80015d9c	load		.word		pointer-reviewed	reviewed	manual:game_semantic_player_stats
GAME.EXE	0x80012030	0x830		mips32_candidate	raw-word	0x80016880	load		.word		pointer-reviewed	reviewed	manual:game_semantic_player_stats
GAME.EXE	0x80012034	0x834		mips32_candidate	raw-word	0x80016890	load		.word		pointer-reviewed	reviewed	manual:game_semantic_player_stats
GAME.EXE	0x80012038	0x838		mips32_candidate	raw-word	0x800168a0	load		.word		pointer-reviewed	reviewed	manual:game_semantic_player_stats
GAME.EXE	0x8001203c	0x83c		mips32_candidate	raw-word	0x800168b0	load		.word		pointer-reviewed	reviewed	manual:game_semantic_player_stats
GAME.EXE	0x80012040	0x840		mips32_candidate	raw-word	0x800168c0	load		.word		pointer-reviewed	reviewed	manual:game_semantic_player_stats
GAME.EXE	0x80012044	0x844		mips32_candidate	raw-word	0x800168d0	load		.word		pointer-reviewed	reviewed	manual:game_semantic_player_stats
GAME.EXE	0x80012048	0x848		mips32_candidate	raw-word	0x80018454	load		.word		pointer-reviewed	reviewed	manual:game_semantic_player_interactions
GAME.EXE	0x8001204c	0x84c		mips32_candidate	raw-word	0x800183a0	load		.word		pointer-reviewed	reviewed	manual:game_semantic_player_interactions
GAME.EXE	0x80012050	0x850		mips32_candidate	raw-word	0x800183a0	load		.word		pointer-reviewed	reviewed	manual:game_semantic_player_interactions
GAME.EXE	0x80012054	0x854		mips32_candidate	raw-word	0x800183a0	load		.word		pointer-reviewed	reviewed	manual:game_semantic_player_interactions
GAME.EXE	0x80012058	0x858		mips32_candidate	raw-word	0x800183a0	load		.word		pointer-reviewed	reviewed	manual:game_semantic_player_interactions
GAME.EXE	0x8001205c	0x85c		mips32_candidate	raw-word	0x800183a0	load		.word		pointer-reviewed	reviewed	manual:game_semantic_player_interactions
GAME.EXE	0x80012060	0x860		mips32_candidate	raw-word	0x80018470	load		.word		pointer-reviewed	reviewed	manual:game_semantic_player_interactions
GAME.EXE	0x80012064	0x864		mips32_candidate	raw-word	0x80018470	load		.word		pointer-reviewed	reviewed	manual:game_semantic_player_interactions
GAME.EXE	0x80012068	0x868		mips32_candidate	raw-word	0x80018470	load		.word		pointer-reviewed	reviewed	manual:game_semantic_player_interactions
GAME.EXE	0x8001206c	0x86c		mips32_candidate	raw-word	0x80018470	load		.word		pointer-reviewed	reviewed	manual:game_semantic_player_interactions
GAME.EXE	0x80012070	0x870		mips32_candidate	raw-word	0x80018470	load		.word		pointer-reviewed	reviewed	manual:game_semantic_player_interactions
GAME.EXE	0x80012074	0x874		mips32_candidate	raw-word	0x80018120	load		.word		pointer-reviewed	reviewed	manual:game_semantic_player_interactions
GAME.EXE	0x80012078	0x878		mips32_candidate	raw-word	0x80018120	load		.word		pointer-reviewed	reviewed	manual:game_semantic_player_interactions
GAME.EXE	0x8001207c	0x87c		mips32_candidate	raw-word	0x80018470	load		.word		pointer-reviewed	reviewed	manual:game_semantic_player_interactions
GAME.EXE	0x80012080	0x880		mips32_candidate	raw-word	0x8001824c	load		.word		pointer-reviewed	reviewed	manual:game_semantic_player_interactions
GAME.EXE	0x80012084	0x884		mips32_candidate	raw-word	0x800183b8	load		.word		pointer-reviewed	reviewed	manual:game_semantic_player_interactions
GAME.EXE	0x80012088	0x888		mips32_candidate	raw-word	0x800183a8	load		.word		pointer-reviewed	reviewed	manual:game_semantic_player_interactions
GAME.EXE	0x8001208c	0x88c		mips32_candidate	raw-word	0x800183ec	load		.word		pointer-reviewed	reviewed	manual:game_semantic_player_interactions
GAME.EXE	0x80012090	0x890		mips32_candidate	raw-word	0x80018120	load		.word		pointer-reviewed	reviewed	manual:game_semantic_player_interactions
GAME.EXE	0x80012094	0x894		mips32_candidate	raw-word	0x80018470	load		.word		pointer-reviewed	reviewed	manual:game_semantic_player_interactions
GAME.EXE	0x80012098	0x898		mips32_candidate	raw-word	0x800182e8	load		.word		pointer-reviewed	reviewed	manual:game_semantic_player_interactions
GAME.EXE	0x8001209c	0x89c		mips32_candidate	raw-word	0x8001824c	load		.word		pointer-reviewed	reviewed	manual:game_semantic_player_interactions
GAME.EXE	0x800120a0	0x8a0		mips32_candidate	raw-word	0x8001824c	load		.word		pointer-reviewed	reviewed	manual:game_semantic_player_interactions
GAME.EXE	0x800120a4	0x8a4		mips32_candidate	raw-word	0x80018470	load		.word		pointer-reviewed	reviewed	manual:game_semantic_player_interactions
GAME.EXE	0x800120a8	0x8a8		mips32_candidate	raw-word	0x80018470	load		.word		pointer-reviewed	reviewed	manual:game_semantic_player_interactions
GAME.EXE	0x800120ac	0x8ac		mips32_candidate	raw-word	0x80018470	load		.word		pointer-reviewed	reviewed	manual:game_semantic_player_interactions
GAME.EXE	0x800120b0	0x8b0		mips32_candidate	raw-word	0x8001824c	load		.word		pointer-reviewed	reviewed	manual:game_semantic_player_interactions
GAME.EXE	0x800120b4	0x8b4		mips32_candidate	raw-word	0x8001824c	load		.word		pointer-reviewed	reviewed	manual:game_semantic_player_interactions
GAME.EXE	0x800120b8	0x8b8		mips32_candidate	raw-word	0x80018470	load		.word		pointer-reviewed	reviewed	manual:game_semantic_player_interactions
GAME.EXE	0x800120bc	0x8bc		mips32_candidate	raw-word	0x80018470	load		.word		pointer-reviewed	reviewed	manual:game_semantic_player_interactions
GAME.EXE	0x800120c0	0x8c0		mips32_candidate	raw-word	0x80018470	load		.word		pointer-reviewed	reviewed	manual:game_semantic_player_interactions
GAME.EXE	0x800120c4	0x8c4		mips32_candidate	raw-word	0x80018470	load		.word		pointer-reviewed	reviewed	manual:game_semantic_player_interactions
GAME.EXE	0x800120c8	0x8c8		mips32_candidate	raw-word	0x80018120	load		.word		pointer-reviewed	reviewed	manual:game_semantic_player_interactions
GAME.EXE	0x800120d0	0x8d0		mips32_candidate	raw-word	0x800181a0	load		.word		pointer-reviewed	reviewed	manual:game_semantic_player_interactions
GAME.EXE	0x800120d4	0x8d4		mips32_candidate	raw-word	0x80018244	load		.word		pointer-reviewed	reviewed	manual:game_semantic_player_interactions
GAME.EXE	0x800120d8	0x8d8		mips32_candidate	raw-word	0x800181a0	load		.word		pointer-reviewed	reviewed	manual:game_semantic_player_interactions
GAME.EXE	0x800120dc	0x8dc		mips32_candidate	raw-word	0x80018244	load		.word		pointer-reviewed	reviewed	manual:game_semantic_player_interactions
GAME.EXE	0x800120e0	0x8e0		mips32_candidate	raw-word	0x800181a0	load		.word		pointer-reviewed	reviewed	manual:game_semantic_player_interactions
GAME.EXE	0x800120e4	0x8e4		mips32_candidate	raw-word	0x80018244	load		.word		pointer-reviewed	reviewed	manual:game_semantic_player_interactions
GAME.EXE	0x800120e8	0x8e8		mips32_candidate	raw-word	0x80018244	load		.word		pointer-reviewed	reviewed	manual:game_semantic_player_interactions
GAME.EXE	0x800120ec	0x8ec		mips32_candidate	raw-word	0x80018244	load		.word		pointer-reviewed	reviewed	manual:game_semantic_player_interactions
GAME.EXE	0x800120f0	0x8f0		mips32_candidate	raw-word	0x800181a0	load		.word		pointer-reviewed	reviewed	manual:game_semantic_player_interactions
GAME.EXE	0x800120f4	0x8f4		mips32_candidate	raw-word	0x80018244	load		.word		pointer-reviewed	reviewed	manual:game_semantic_player_interactions
GAME.EXE	0x800120f8	0x8f8		mips32_candidate	raw-word	0x80018244	load		.word		pointer-reviewed	reviewed	manual:game_semantic_player_interactions
GAME.EXE	0x800120fc	0x8fc		mips32_candidate	raw-word	0x80018244	load		.word		pointer-reviewed	reviewed	manual:game_semantic_player_interactions
GAME.EXE	0x80012100	0x900		mips32_candidate	raw-word	0x80018244	load		.word		pointer-reviewed	reviewed	manual:game_semantic_player_interactions
GAME.EXE	0x80012104	0x904		mips32_candidate	raw-word	0x80018244	load		.word		pointer-reviewed	reviewed	manual:game_semantic_player_interactions
GAME.EXE	0x80012108	0x908		mips32_candidate	raw-word	0x80018244	load		.word		pointer-reviewed	reviewed	manual:game_semantic_player_interactions
