# MANUALLY MANAGED - exact target offsets/extents for every field in structures.tsv.
# opaque means the byte range is modeled for layout but has no supported semantic meaning yet.
structure	offset	size	name	datatype	meaning_confidence	evidence	note
KfActor	0x00	0x01	slot_state	u8	supported	semantic_types.h;asm;xrefs	allocation/activity state
KfActor	0x01	0x01	definition_id	u8	supported	semantic_types.h;asm;xrefs	index into actor definitions
KfActor	0x02	0x01	variant	u8	supported	semantic_types.h;asm;xrefs	actor variant selector
KfActor	0x03	0x01	heading_quadrant	u8	supported	semantic_types.h;asm;xrefs	coarse heading selector
KfActor	0x04	0x01	tile_z	u8	supported	semantic_types.h;asm;xrefs;actor_pool_load_placements;axis-from-position	map tile z; world position.z = tile_z * 2000 + local_z (actor_initialize_slot, actor_pool_load_placements)
KfActor	0x05	0x01	tile_x	u8	supported	semantic_types.h;asm;xrefs;actor_pool_load_placements;axis-from-position	map tile x; world position.x = tile_x * 2000 + local_x
KfActor	0x06	0x01	lifecycle	u8	supported	semantic_types.h;asm;xrefs	actor lifecycle state
KfActor	0x07	0x01	unknown_07	u8	opaque	semantic_types.h;asm;xrefs	meaning unresolved
KfActor	0x08	0x01	action	u8	supported	semantic_types.h;asm;xrefs	action dispatcher selector
KfActor	0x09	0x01	unknown_09	u8	opaque	semantic_types.h;asm;xrefs	meaning unresolved
KfActor	0x0a	0x01	animation_id	u8	supported	semantic_types.h;asm;xrefs	animation selector
KfActor	0x0b	0x01	vertical_state	u8	supported	semantic_types.h;asm;xrefs	vertical movement selector
KfActor	0x0c	0x02	unknown_0c	u8[2]	opaque	semantic_types.h;asm;xrefs	meaning unresolved
KfActor	0x0e	0x02	local_z	s16	supported	semantic_types.h;asm;xrefs;actor_pool_load_placements;axis-from-position	local offset along z added to tile_z * 2000
KfActor	0x10	0x02	local_x	s16	supported	semantic_types.h;asm;xrefs;actor_pool_load_placements;axis-from-position	local offset along x added to tile_x * 2000
KfActor	0x12	0x02	animation_phase	u16	supported	semantic_types.h;asm;xrefs	animation phase/progress
KfActor	0x14	0x02	health	u16	supported	semantic_types.h;asm;xrefs	current actor health
KfActor	0x16	0x02	cell_x	u16	supported	semantic_types.h;asm;xrefs	map cell x; every band load is lhu
KfActor	0x18	0x02	cell_z	u16	supported	semantic_types.h;asm;xrefs	map cell z; every band load is lhu
KfActor	0x1a	0x02	unknown_1a	s16	opaque	semantic_types.h;asm;xrefs	meaning unresolved
KfActor	0x1c	0x10	position	VECTOR	supported	semantic_types.h;asm;xrefs;actor_move_xz_with_collision	world position as a four-lane vector; actor_move_xz_with_collision copies all 16 bytes and audio calls pass it as VECTOR
KfActor	0x2c	0x06	rotation	KfEulerAngles	supported	semantic_types.h;asm;xrefs	actor rotation
KfActor	0x32	0x02	unknown_32	u16	opaque	semantic_types.h;asm;xrefs	meaning unresolved
KfActor	0x34	0x04	unknown_34	u32	opaque	semantic_types.h;asm;xrefs	meaning unresolved
KfActor	0x38	0x01	action_timer	u8	supported	semantic_types.h;asm;xrefs	action countdown; loaded lbu and seeded with 0xff
KfActor	0x39	0x01	collision_state	u8	supported	semantic_types.h;asm;xrefs	collision result/state
KfActor	0x3a	0x02	movement_yaw	s16	supported	semantic_types.h;asm;xrefs	movement heading
KfActor	0x3c	0x02	animation_step	s16	supported	semantic_types.h;asm;xrefs	animation increment
KfActor	0x3e	0x02	vertical_velocity	s16	supported	semantic_types.h;asm;xrefs	vertical velocity
KfActor	0x40	0x02	movement_x	s16	supported	semantic_types.h;asm;xrefs	x movement component
KfActor	0x42	0x02	movement_z	s16	supported	semantic_types.h;asm;xrefs	z movement component
KfActor	0x44	0x02	movement_y	s16	supported	semantic_types.h;asm;xrefs	y movement component
KfActor	0x46	0x02	unknown_46	u8[2]	opaque	semantic_types.h;asm;xrefs	meaning unresolved
