image	function	va	bytes	unit	strict_percent	verdict
PSX.EXE	main	0x80010028	0xd0	psx.main	100	exact-preserved
GAME.EXE	repeat_store_word	0x80014268	0x24	game.main	100	exact-preserved
GAME.EXE	main	0x8001428c	0x88	game.main	78.52941	partial-preserved
GAME.EXE	sprite_add_ft4	0x80014314	0x1c0	game.sprite_add_ft4	100	exact-preserved
GAME.EXE	display_play_transition	0x800144d4	0x1a0	game.display_play_transition	100	exact-preserved
GAME.EXE	player_warp_shimmer_at_player	0x80014674	0x44	game.player_warp_shimmer_at_player	100	exact-preserved
GAME.EXE	game_main_loop	0x800146b8	0x2e4	game.game	100	exact-preserved
GAME.EXE	game_shutdown	0x8001499c	0x38	game.game	100	exact-preserved
GAME.EXE	frame_pacer_vsync_callback	0x800149d4	0x20	game.game	100	exact-preserved
GAME.EXE	frame_pacer_wait	0x800149f4	0x70	game.game	100	exact-preserved
GAME.EXE	angle_approach	0x80014a64	0xc8	game.matrix_rotation	100	exact-preserved
GAME.EXE	angle_to_forward_xz	0x80014b2c	0x50	game.matrix_rotation	100	exact-preserved
GAME.EXE	matrix_set_rotation_x	0x80014b7c	0x70	game.matrix_rotation	100	exact-preserved
GAME.EXE	matrix_set_rotation_y	0x80014bec	0x70	game.matrix_rotation	100	exact-preserved
GAME.EXE	matrix_set_rotation_z	0x80014c5c	0x70	game.matrix_rotation	100	exact-preserved
GAME.EXE	matrix_set_rotation_yxz	0x80014ccc	0x68	game.matrix_rotation	100	exact-preserved
GAME.EXE	pitch_yaw_to_forward_vector	0x80014d34	0xd4	game.matrix_rotation	100	exact-preserved
GAME.EXE	vector2s_scale_shift11	0x80014e08	0x40	game.matrix_rotation	100	exact-preserved
GAME.EXE	vector3s_scale_shift12	0x80014e48	0x5c	game.matrix_rotation	100	exact-preserved
GAME.EXE	vector2s_scale_shift12	0x80014ea4	0x40	game.matrix_rotation	100	exact-preserved
GAME.EXE	vector3s_scale_shift12_alt	0x80014ee4	0x5c	game.matrix_rotation	100	exact-preserved
GAME.EXE	vector3i_add_xz	0x80014f40	0x2c	game.matrix_rotation	100	exact-preserved
GAME.EXE	angle_within_tolerance	0x80014f6c	0x3c	game.matrix_rotation	100	exact-preserved
GAME.EXE	angle_mod_delta_le_half_turn	0x80014fa8	0x10	game.matrix_rotation	100	exact-preserved
GAME.EXE	vector_xz_to_angle	0x80014fb8	0xb0	game.matrix_rotation	100	exact-preserved
GAME.EXE	fixed_vector2_length	0x80015068	0x40	game.matrix_rotation	100	exact-preserved
GAME.EXE	weapon_records_load_and_mirror_angles	0x800150a8	0x54	game.equipment	100	exact-preserved
GAME.EXE	armor_records_load	0x800150fc	0x2c	game.equipment	100	exact-preserved
GAME.EXE	fixed6_ratio_step	0x80015128	0x3c	game.equipment	100	exact-preserved
GAME.EXE	player_death_begin	0x80015164	0x68	game.player_death	100	exact-preserved
GAME.EXE	game_state_initialize	0x800151cc	0x2e4	game.player_death	100	exact-preserved
GAME.EXE	player_death_restart	0x800154b0	0x19c	game.player_death	100	exact-preserved
