# GAME/OPEN source audit against master 6f96b76874dd; see docs/patterns/shared-game-open-code.md.
image	va	name	counterpart_image	counterpart	original_source	source	unit	verdict	reason
GAME.EXE	0x80014268	repeat_store_word	OPEN.EXE	repeat_store_word	src/game/main.c	src/shared/repeat_store_word.inc	game.main	consolidated	One implementation with per-image bindings; original TU, profile, data owners, and instruction behavior retained.
GAME.EXE	0x8001428c	main	OPEN.EXE	main	src/game/main.c	src/game/main.c	game.main	distinct-behavior	Different initialization sequence, entry contract, and next-overlay result.
GAME.EXE	0x80014314	sprite_add_ft4	OPEN.EXE	sprite_add_ft4	src/game/sprite_add_ft4.c	src/shared/sprite_add_ft4.inc	game.sprite_add_ft4	consolidated	One implementation with per-image bindings; original TU, profile, data owners, and instruction behavior retained.
GAME.EXE	0x800144d4	display_play_transition	OPEN.EXE	opening_fade_in	src/game/display_play_transition.c	src/game/display_play_transition.c	game.display_play_transition	distinct-analogue	Scene fade versus gameplay display transition with different frame rendering and state.
GAME.EXE	0x80014674	player_warp_shimmer_at_player			src/game/player_warp_shimmer_at_player.c	src/game/player_warp_shimmer_at_player.c	game.player_warp_shimmer_at_player	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x800146b8	game_main_loop			src/game/game.c	src/game/game.c	game.game	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x8001499c	game_shutdown			src/game/game.c	src/game/game.c	game.game	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x800149d4	frame_pacer_vsync_callback			src/game/game.c	src/game/game.c	game.game	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x800149f4	frame_pacer_wait			src/game/game.c	src/game/game.c	game.game	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x80014a64	angle_approach			src/game/matrix_rotation.c	src/shared/matrix_rotation.c	game.matrix_rotation	shared-single-image	Reusable math, color, projection, sprite, or diagnostic helper; absence from the other linked image does not imply image-specific ownership.
GAME.EXE	0x80014b2c	angle_to_forward_xz			src/game/matrix_rotation.c	src/shared/matrix_rotation.c	game.matrix_rotation	shared-single-image	Reusable math, color, projection, sprite, or diagnostic helper; absence from the other linked image does not imply image-specific ownership.
